Unnamed: 0	Sentence	True Id
24	chicago state university - academy of early education; 124 e 113th st; ; 7858163; child care; extended day	12460628
25	chicago state university - academy of early education; 124 e 113th st; ; 7858163; child care; extended day	12460628
26	easter seals society of metropolitan chicago - stepping stones early/childhood lear; 1300 e 75th st; ; 4930000; child care; extended day	130060619
27	marcy newberry association - fosco abla center; 1312 s racine ave; ; 7466024; child care; extended day	131260608
28	marcy newberry association - fosco abla center; 1312 s racine ave; ; 7466024; child care; extended day	131260608
29	salvation army - incarnation / salvation army; 1345 n karlov ave; ; 2764118; child care; extended day	134560651
30	abraham lincoln centre - hope presbyterian church; 1354 w 61st st; ; 4715100; child care; extended day	135460636
31	catholic charities of the archdiocese of chicago - our lady of lourdes; 1449 s keeler ave; ; 5213126; child care; extended day	144960623
32	catholic charities of the archdiocese of chicago - our lady of lourdes; 1449 s keeler ave; ; 5213126; child care; extended day	144960623
33	lutheran social services of illinois - north austin / lssi; 1500 n mason ave; ; 2371930; child care; extended day	150060651
34	marcy newberry association - new birth; 1500 w 69th st; ; 4710699; child care; extended day	1500
35	chicago youth centers - mt. moriah-taylor / cyc; 1501 n harding ave; ; 2785837; child care; extended day	150160651
36	marcy newberry association - marcy center; 1539 s springfield ave; ; 7612300; child care; extended day	153960623
37	marcy newberry association - marcy center; 1539 s springfield ave; ; 7612300; child care; extended day	153960623
38	mary crane league - mary crane - morse; 1545 w morse ave; ; 2621390; child care; extended day	154560626
39	south shore bible - maranatha; 1631 e 71st st; ; 4937500; child care; extended day	163160649
40	chicago commons association - taylor center for new experiences; 1633 n hamlin ave; ; 2278551; child care; extended day	163360647
41	catholic charities of the archdiocese of chicago - ebenezer; 1652 w foster ave; ; 8789925; child care; extended day	165260640
42	chicago commons association - paulo freire; 1653 w 43rd st; ; 8262669; child care; extended day	165360609
43	erie neighborhood house - erie community center; 1701 w superior st; ; 5635800; child care; extended day	170160622
44	el valor - little tykes i; 1711 w 35th st; ; 2547700; child care; extended day	171160609
45	el valor - little tykes i; 1711 w 35th st; ; 2547700; child care; extended day	171160609
46	childserv - pilsen; 1711 w garfield blvd; ; ; child care; extended day	171160636
47	el hogar del nino/cuidar - el hogar del nino/el centro - loomis; 1718 s loomis blvd; ; 5639796; child care; extended day	171860608
48	el hogar del nino/cuidar - el hogar del nino/el centro - loomis; 1718 s loomis blvd; ; 5639796; child care; extended day	171860608
49	el valor - little tykes ii; 1723 w 35th st; ; 5791791; child care; extended day	172360609
50	el valor - little tykes ii; 1723 w 35th st; ; 5791791; child care; extended day	172360609
51	church of god true believers - church of god day care; 1738 w marquette rd; ; 4715222; child care; extended day	173860636
52	lutheran social services of illinois - rogers park / lssi; 1754 w devon ave; ; 2623366; child care; extended day	175460660
53	chicago commons association - guadalupano family center; 1814 s paulina st; ; 6663883; child care; extended day	181460608
54	chicago commons association - guadalupano family center; 1814 s paulina st; ; 6663883; child care; extended day	181460608
55	ymca of metropolitan chicago - mccormick tribune- ymca; 1834 n lawndale ave; ; 2352525; child care; extended day	183460647
56	board trustees-city colleges of chicago - malcolm x college; 1900 w van buren st; ; 8507000; child care; extended day	190060612
57	board trustees-city colleges of chicago - malcolm x college; 1900 w van buren st; ; 8507000; child care; extended day	190060612
58	el valor - guadalupe reyes children & family center; 1951 w 19th st; ; 9972021; child care; extended day	195160608
59	el valor - guadalupe reyes children & family center; 1951 w 19th st; ; 9972021; child care; extended day	195160608
60	north avenue day nursery - north avenue day nursery; 2001 w pierce ave; ; 3424499; child care; extended day	200160622
61	carole robertson center for learning - carole robertson center ctr 2020; 2020 w roosevelt rd; ; 2437300; child care; extended day	202060608
62	carole robertson center for learning - carole robertson center ctr 2020; 2020 w roosevelt rd; ; 2437300; child care; extended day	202060608
63	chinese american service league - chinese american service league; 2141 s tan ct; ; 7910418; child care; extended day	214160616
64	chinese american service league - chinese american service league; 2141 s tan ct; ; 7910418; child care; extended day	214160616
65	first church of love and faith - first church of love & faith annex; 2141 w 79th st; ; 2246800; child care; extended day	214160200
66	el hogar del nino/cuidar - el hogar del nino/cuidar- california; 2325 s california ave; ; 5231629; child care; extended day	232560608
67	el hogar del nino/cuidar - el hogar del nino/cuidar- california; 2325 s california ave; ; 5231629; child care; extended day	232560608
68	henry booth house - bernard gentry; 2326 s dearborn st; ; 8428557; child care; extended day	232660616
69	henry booth house - bernard gentry; 2326 s dearborn st; ; 8428557; child care; extended day	232660616
70	chicago state university - kenyatta's day care; 2334 e 75th; ; 2213777; child care; extended day	233460649
71	henry booth house - hillard house / henry booth; 2401 s wabash ave; ; 7919710; child care; extended day	240160616
72	catholic charities of the archdiocese of chicago - our lady of tepeyac; 2414 s albany ave; ; 2775888; child care; extended day	241460623
73	catholic charities of the archdiocese of chicago - our lady of tepeyac; 2414 s albany ave; ; 2775888; child care; extended day	241460623
74	ymca of metropolitan chicago - high ridge ymca; 2424 w touhy ave; ; 2628300; child care; extended day	242460645
75	el valor - carlos cantu; 2434 s kildare ave; ; ; child care; extended day	243460623
76	el valor - carlos cantu; 2434 s kildare ave; ; ; child care; extended day	243460623
77	christopher house - christopher house - greenview; 2507 n greenview ave; ; 4721083; child care; extended day	250760614
78	christopher house - christopher house - logan square; 2610 n francisco ave; ; 2354073; child care; extended day	261060647
79	st. augustine college - st. augustine - nayarit; 2610 w 25th pl; ; 8783641; child care; extended day	261060608
80	st. augustine college - st. augustine - nayarit; 2610 w 25th pl; ; 8783641; child care; extended day	261060608
81	ymca of metropolitan chicago - rauner; 2700 s western ave; ; 8473115; child care; extended day	270060608
82	ymca of metropolitan chicago - rauner; 2700 s western ave; ; 8473115; child care; extended day	270060608
83	ymca of metropolitan chicago - ymca - bowen high school; 2710 e 89th st; ; 9330166; child care; extended day	271060617
84	easter seals society of metropolitan chicago - the keeper's inst.; 2718 w 59th st; ; ; child care; extended day	2718
85	el valor - centro infantil(puerto rican comm); 2739 w division st; ; 3428866; child care; extended day	273960622
86	mary crane league - mary crane - west; 2820 n leavitt st; ; 3485528; child care; extended day	282060618
87	henry booth house - family service center / henry booth; 2850 s michigan ave; ; 9492151; child care; extended day	285060616
88	mary crane league - mary crane - north; 2905 n leavitt st; ; 9753322; child care; extended day	290560618
89	henry booth house - near south / henry booth; 2929 s wabash ave; ; 7910424; child care; extended day	292960616
90	carole robertson center for learning - carole robertson center 2929; 2929 w 19th st; ; 5211600; child care; extended day	292960623
91	carole robertson center for learning - carole robertson center 2929; 2929 w 19th st; ; 5211600; child care; extended day	292960623
92	boys and girls clubs of chicago - r.e. woods; 2950 w 25th st; ; 8475172; child care; extended day	2950
93	boys and girls clubs of chicago - r.e. woods; 2950 w 25th st; ; 8475172; child care; extended day	2950
94	mary crane league - mary crane - east; 2974 n clybourn ave; ; 3485528; child care; extended day	297460618
95	el valor - young scholars dev. ins; 3038 w 59th st; ; 9181944; child care; extended day	303860629
96	ymca of metropolitan chicago - south chicago ymca; 3039 e 91st st; ; 7219100; child care; extended day	303960617
97	el valor - rey gonzalez children & family center; 3050 e 92nd st; ; 7219311; child care; extended day	305060617
98	bethel new life - lake and pulaski; 316 n pulaski rd; ; 2653830; child care; extended day	316
99	childserv - fss of lawndale; 3210 w arthington st; ; 8677370; child care; extended day	321060624
100	childserv - fss of lawndale; 3210 w arthington st; ; 8677370; child care; extended day	321060624
101	metropolitan family services - midway children's center (chicago lawn); 3215 w 63rd st; ; 8842350; child care; extended day	321560629
102	chicago youth centers - centro nuestro / cyc; 3222 w division ave; ; 4893157; child care; extended day	322260651
103	metropolitan family services - north children's center; 3249 n central ave; ; 3713700; child care; extended day	324960634
104	christopher house - christoper house - logan square; 3255 w altgeld st; ; 2354073; child care; extended day	325560647
105	chicago state university - professional playhouse; 338 e 103rd; ; 5680728; child care; extended day	33860628
106	chicago state university - professional playhouse; 338 e 103rd; ; 5680728; child care; extended day	33860628
107	albany park community center - albany park day care - ainslie; 3401 w ainslie st; ; 5395907; child care; extended day	340160625
108	st. augustine college - st. augustine - flamboyan; 3401 w mclean ave; ; 2763423; child care; extended day	340160647
109	chicago youth centers - abc; 3415 w 13th pl; ; ; child care; extended day	341560623
110	chicago youth centers - abc; 3415 w 13th pl; ; ; child care; extended day	341560623
111	ymca of metropolitan chicago - north lawndale ymca; 3449 w arthington st; ; 6380773; child care; extended day	344960624
112	ymca of metropolitan chicago - north lawndale ymca; 3449 w arthington st; ; 6380773; child care; extended day	344960624
113	el valor - teddy bear 2 columbus; 3473 w columbus; ; ; child care; extended day	347360652
114	centers for new horizons - ida b. wells learning center; 3601 s rhodes st; ; 3733640; child care; extended day	364160653
115	firman community services - firman house west; 37 w 47th st; ; 3733400; child care; extended day	3760609
116	carole robertson center for learning - carole robertson center- ogden 3701; 3701 w ogden ave; ; 5228400; child care; extended day	370160623
117	carole robertson center for learning - carole robertson center- ogden 3701; 3701 w ogden ave; ; 5228400; child care; extended day	370160623
118	ada s. mckinley community services - mckinley - st. thomas; 3801 s wabash ave; ; 2850617; child care; extended day	3801
119	centers for new horizons - edison l. hoard learning center; 3901 s state st; ; 5362187; child care; extended day	390160609
120	easter seals society of metropolitan chicago - it takes a village; 4000 w division st; ; ; child care; extended day	4000
121	grant creative learning center - grant day care center; 4025 s drexel st; ; 2858440; child care; extended day	402560653
122	salvation army - new hope / salvation army; 4255 w division st; ; 7224908; child care; extended day	425560651
123	korean american community services - korean american community services; 4300 n california ave; ; 5838281; child care; extended day	430060618
124	centers for new horizons - effie ellis; 4301 s cottage grove ave; ; ; child care; extended day	430160653
125	ada s. mckinley community services - maggie drummond day care; 4301 s wabash ave; ; 3738200; child care; extended day	4301606531
126	abraham lincoln centre - lincoln - king; 4314 s cottage grove ave; ; 7472310; child care; extended day	431460653
127	hull house association - leclaire-ryder day care / hull house; 4410 s laporte ave; ; 7675170; child care; extended day	441060638
128	el valor - kiddy kare learning ctr; 4444 s kedzie ave; ; 2476642; child care; extended day	444460632
129	hull house association - uptown west / hull house; 4520 n beacon st; ; 5613500; child care; extended day	452060640
130	st. paul church of god - chaney ford child care center; 4526 s wabash ave; ; 2858721; child care; extended day	452660653
131	chicago youth centers - roseland / cyc; 461 e 111th st; ; 4684405; child care; extended day	46160628
132	chicago youth centers - roseland / cyc; 461 e 111th st; ; 4684405; child care; extended day	46160628
133	home of life community dev. corp. - home of life just for you; 4647 w washington blvd; ; 6268655; child care; extended day	464760644
134	home of life community dev. corp. - home of life community development; 4650 w madison st; ; 6268655; child care; extended day	465060644
135	christopher house - christopher house - uptown; 4701 n winthrop ave; ; 7694540; child care; extended day	470160640
136	hull house association - lincoln square / hull house; 4754 n leavitt st; ; 8788651; child care; extended day	475460625
137	catholic charities of the archdiocese of chicago - st. joseph; 4800 s paulina st; ; 9272524; child care; extended day	480060609
138	lutheran social services of illinois - winthrop children's center / lssi; 4848 n winthrop ave; ; 8783210; child care; extended day	484860640
139	firman community services - firman house east; 4910 s dr. martin luther king dr; ; 3732083; child care; extended day	491060615
140	healing temple - healing temple; 4941 w chicago ave; ; 2876964; child care; extended day	494160651
141	appeal for charities and goodwill - appeal for charities; 50 w 71st st; ; 6515400; child care; extended day	50760621
142	salvation army - columbus park / salvation army; 500 s central ave; ; 9214162; child care; extended day	50060644
143	douglass-tubman youth ministries,inc. - douglass-tubman child development center; 5010 w chicago ave; ; 6266581; child care; extended day	501060651
144	wayman day care center - wayman day care; 511 w elm st; ; 9432120; child care; extended day	51160610
145	albany park community center - albany park head start center-kimball; 5121 n kimball ave; ; 5095657; child care; extended day	512160625
146	el valor - teddy bear 5 pulaski; 5160 s pulaski rd; ; ; child care; extended day	516060632
147	trinity united church of christ - trinity united; 532 w 95th st; ; 4883511; child care; extended day	53260628
148	catholic charities of the archdiocese of chicago - grace mission; 5332 s western ave; ; 4761990; child care; extended day	533260609
149	firman community services - firman house south; 5401 s wentworth ave; ; 4513400; child care; extended day	540160609
150	onward neighborhood house - belmont-cragin; 5423 w diversey; ; ; child care; extended day	542360639
151	onward neighborhood house - tiny town for tots; 5654 w division st; ; ; child care; extended day	565460651
152	marcy newberry association - st. john greater holy temple; 5701 w midway park; ; 9480094; child care; extended day	570160644
153	el hogar del nino/cuidar - blanca alatorre; 5738 s kenneth ave; ; ; child care; extended day	573860623
154	trinity resources unlimited, inc. - hope for youth; 5900 w iowa st; ; 6260323; child care; extended day	590060651
155	el valor - little learners; 5923 w 63rd st; ; 5815541; child care; extended day	592360609
156	onward neighborhood house - onward neighborhood house; 600 n leavitt st; ; 6666726; child care; extended day	60060612
157	heartland alliance for human needs & rights - heartland human care services, inc; 615 w wellington ave; ; ; child care; extended day	61560657
158	centers for new horizons - washington park south learning center; 6225 s wabash ave; ; 6672065; child care; extended day	622560637
159	boys and girls clubs of chicago - yancey; 6245 s wabash ave; ; 3634733; child care; extended day	624560637
160	el valor - kidz colony; 6287 s archer ave; ; 7678522; child care; extended day	628760638
161	ymca of metropolitan chicago - south side ymca; 6330 s stony island ave; ; 9470700; child care; extended day	633060637
162	el valor - teddy bear 3 pulaski; 6401 s pulaski rd; ; ; child care; extended day	640160629
163	woodlawn a.m.e. church - woodlawn a.m.e.; 6456 s evans ave; ; 6671402; child care; extended day	645660637
164	board trustees-city colleges of chicago - kennedy-king college; 6800 s wentworth ave; ; 5533475; child care; extended day	680060621
165	family rescue - ridgeland head start; 6824 s ridgeland ave; ; 6671073; child care; extended day	682460649
166	trinity united church of christ - dr. denton j. brooks center; 6921 s stony island ave; ; 9552818; child care; extended day	692160649
167	abraham lincoln centre - lincoln - roseland; 7 e 119th st; ; 2647632; child care; extended day	71160628
168	abraham lincoln centre - lincoln - roseland; 7 e 119th st; ; 2647632; child care; extended day	71160628
169	ymca of metropolitan chicago - garfield head start/child developmental center- ymca; 7 n homan ave; ; 2653900; child care; extended day	760624
170	christopher house - christopher house - rogers park; 7059 n greenview ave; ; 2745477; child care; extended day	705960626
171	ada s. mckinley community services - little hands; 7146 s ashland ave; ; ; child care; extended day	714660636
172	ada s. mckinley community services - mckinley - howard; 7222 s exchange ave; ; 2219711; child care; extended day	722260649
173	hull house association - orr high school non-cys funded; 730 n pulaski rd; ; 8261090; child care; extended day	73060624
174	south shore united methodist - south shore united; 7350 s jeffery blvd; ; 3244430; child care; extended day	735060649
175	chicago commons association - nia family center; 744 n monticello ave; ; 8266971; child care; extended day	74460612
176	howard area community center - howard area community center; 7510 n ashland ave; ; 7647610; child care; extended day	751060626
177	chicago youth centers - rebecca k. crown / cyc; 7601 s phillips ave; ; 6481550; child care; extended day	760160649
178	howard area community center - howard area; 7638 n paulina ave; ; 3813652; child care; extended day	761060626
179	childserv - englewood; 7928 s ashland ave; ; ; child care; extended day	792860620
180	ada s. mckinley community services - mckinley - wright renaissance; 7939 s western ave; ; 4768805; child care; extended day	793960620
181	chicago state university - tiny tots villa; 8128 s dr. martin luther king dr; ; 4836251; child care; extended day	8128
182	henry booth house - new pisgah; 8130 s racine ave; ; 8735392; child care; extended day	813060620
183	human resources development institute - human resources development institute; 8151 s western ave; ; 8631145; child care; extended day	8151
184	south central community services - south central community services; 8316 s ellis ave; ; 4830900; child care; extended day	831660619
185	marcy newberry association - south harper montessori; 8358 s stony island ave; ; 7340375; child care; extended day	835860617
186	christopher house - christopher house - lakeshore; 850 w eastwood ave; ; 2719403; child care; extended day	85060640
187	henry booth house - north kenwood day care center; 857 e pershing rd; ; 2682223; child care; extended day	85760653
188	dorothy sutton branch - dorothy sutton branch; 8601 s state st; ; 7234445; child care; extended day	860160619
189	catholic charities of the archdiocese of chicago - st. bronislava; 8716 s colfax ave; ; 9337676; child care; extended day	871660617
190	catholic charities of the archdiocese of chicago - our lady of guadalupe; 9129 s burley ave; ; 9785320; child care; extended day	912960617
191	haymarket center - haymarket center; 932 w washington blvd; ; 2267984; child care; extended day	93260607
192	centers for new horizons - altgeld gardens i; 941 e 132nd pl; ; 4683055; child care; extended day	94160627
193	centers for new horizons - altgeld gardens i; 941 e 132nd pl; ; 4683055; child care; extended day	94160627
194	the woodlawn organization - t.w.o. early child development; 950 e 61st st; ; 2885840; child care; extended day	95060637
195	human resources development institute - donna randle; 9634 s chappel ave; ; ; child care; extended day	9634
196	chicago youth centers - dorothy gautreaux / cyc; 975 e 132nd st; ; 2911000; child care; extended day	97560627
197	chicago youth centers - dorothy gautreaux / cyc; 975 e 132nd st; ; 2911000; child care; extended day	97560627
198	joyner cpc; 1315 s. blue island; ; 5347903; child parent center; 3-4 hours	1315
199	von humboldt cpc; 1345 n. rockwell; ; 5344668; child parent center; 3-4 hours	134560622
200	herzl cpc; 1401 s. hamlin; ; 5341751; child parent center; 3-4 hours	140160623
201	herzl cpc; 1401 s. hamlin; ; 5341751; child parent center; 3-4 hours	140160623
202	ferguson cpc; 1420 n. hudson; ; 5348580; child parent center; 3-4 hours	142060610
203	parker cpc; 328 w. 69th; ; 5353853; child parent center; 3-4 hours	32860621
204	delano cpc; 3905 w. wilcox; ; 5346450; child parent center; 3-4 hours	390560624
205	hansberry cpc; 4055 w. arthington; ; 5346931; child parent center; 3-4 hours	405560624
206	hansberry cpc; 4055 w. arthington; ; 5346931; child parent center; 3-4 hours	405560624
207	cole cpc; 412 s. keeler; ; 5346857; child parent center; 3-4 hours	412
208	woodson south cpc; 4511 s. evans ave; ; 5351822; child parent center; 3-4 hours	4444
209	overton cpc; 4935 s. indiana; ; 5351811; child parent center; 3-4 hours	493560615
210	beasley cpc; 5165 s. state st; ; 5351772; child parent center; 3-4 hours	525560609
211	dewey cpc; 638 w. 54th pl.; ; 5351671; child parent center; 3-4 hours	63860609
212	wheatley cpc; 902 e. 133rd pl; ; 5355718; child parent center; 3-4 hours	90260627
213	wheatley cpc; 902 e. 133rd pl; ; 5355718; child parent center; 3-4 hours	90260627
214	v & j day care center; 1 e. 113th st.; ; 7853940; community partnerships; 8-11 hours, varies by facility	11160628
215	salvation army temple; 1 n. ogden; ; 2262649; community partnerships; 8-11 hours, varies by facility	160607
216	national louis university-dr. effie o. ellis head start; 10 s. kedzie; ; 5339011; community partnerships; 8-11 hours, varies by facility	1060612
217	city colleges olive-harvey cdc; 10001 s. woodlawn; ; 2916315; community partnerships; 8-11 hours, varies by facility	1000160628
218	easter seals - gilchrist marchman; 1001 w. roosevelt rd; ; 4927402; community partnerships; 8-11 hours, varies by facility	100160608
219	hull house association edgewater/uptown; 1020 w. bryn mawr; ; 4695626; community partnerships; 8-11 hours, varies by facility	102060660
220	montessori academy and association, inc. 2; 10232 s. halsted st.; ; 2331100; community partnerships; 8-11 hours, varies by facility	10232
221	archdiocese of chicago - st. mary of the lake; 1026 w. buena ave.; ; 2810018; community partnerships; 8-11 hours, varies by facility	1026
222	small stride academy; 10317 s. western; ; 2390040; community partnerships; 8-11 hours, varies by facility	10317
223	loyola university chicago; 1052 w. loyola ave; ; 5083440; community partnerships; 8-11 hours, varies by facility	105260626
224	children?s developmental institute mp; 10928 s. halsted st.; ; 9950600; community partnerships; 8-11 hours, varies by facility	1092860628
225	catholic charities - cordi-marian; 1100 s. may street; ; 6663787; community partnerships; 8-11 hours, varies by facility	110060607
226	montessori academy and association, inc. 1; 11025 s. halsted st.; ; 4680033; community partnerships; 8-11 hours, varies by facility	1102560628
227	kids count too daycare, preschool and kindergarten-kids count too daycare - englewo; 1106-1108 w. 63rd st.; ; 4767714; community partnerships; 8-11 hours, varies by facility	11061
228	thresholds mothers? project; 1110 w. belmont; ; ; community partnerships; 8-11 hours, varies by facility	111060657
229	north kenwood/oakland charter; 1119 e. 46th st.; ; 5362399; community partnerships; 8-11 hours, varies by facility	111960653
230	bethel new life molade cdc; 1120 n. lamon; ; 6267760; community partnerships; 8-11 hours, varies by facility	112060651
231	learn charter school; 1132 s. homan; ; 8266330; community partnerships; 8-11 hours, varies by facility	1132
232	lots of love preschool academy; 1139 w. 79th st.; ; 2091989; community partnerships; 8-11 hours, varies by facility	113960620
233	ada s. mckinley roseland; 11410 s. edbrooke; ; 4681918; community partnerships; 8-11 hours, varies by facility	1141060628
234	imani children's academy; 11443 s. halsted; ; 6609667; community partnerships; 8-11 hours, varies by facility	1144360628
235	city colleges of chicago truman cdc; 1145 w. wilson; ; 9074741; community partnerships; 8-11 hours, varies by facility	114560640
236	gingerbread house daycare; 11640 s. wentworth; ; 9284041; community partnerships; 8-11 hours, varies by facility	11640
237	chicago urban day school; 1248 w. 69th street; ; 4833555; community partnerships; 8-11 hours, varies by facility	124860636
238	stepping stones early childhood center; 1300 e. 75th st.; ; 4930000; community partnerships; 8-11 hours, varies by facility	130060619
239	first congregational church day care; 1305 n. hamlin; ; 3848118; community partnerships; 8-11 hours, varies by facility	130560651
240	marcy-newberry - fosco park; 1312 s. racine; ; 7466024; community partnerships; 8-11 hours, varies by facility	131260608
241	kids place ii, inc.; 1318 west 95th st.; ; 4456500; community partnerships; 8-11 hours, varies by facility	131860643
242	st. augustine college - canillitas; 1333-45 w. argyle; ; 8783231; community partnerships; 8-11 hours, varies by facility	133360640
243	casa central - csc development program; 1343 n. california; ; 6452300; community partnerships; 8-11 hours, varies by facility	134360622
244	abraham lincoln center - hope; 1354 w. 61st st.; ; 4715100; community partnerships; 8-11 hours, varies by facility	135460636
245	northwestern university settlement house; 1400 w. augusta blvd.; ; 2787471; community partnerships; 8-11 hours, varies by facility	140060622
246	taylor - day school inc.; 1414 w. 87th st; ; 2392322; community partnerships; 8-11 hours, varies by facility	1414
247	little kiddies day care; 1447 w. devon; ; 4657702; community partnerships; 8-11 hours, varies by facility	99991447
248	passages charter school; 1447 w. montrose; ; 5491052; community partnerships; 8-11 hours, varies by facility	1447
249	catholic charities - our lady of lourdes; 1449 s. keeler; ; 5213126; community partnerships; 8-11 hours, varies by facility	144960623
250	lutheran social services north austin; 1500 n. mason; ; 2371930; community partnerships; 8-11 hours, varies by facility	150060651
251	chicago youth centers centro nuestro (taylor); 1501 n. harding; ; 2785837; community partnerships; 8-11 hours, varies by facility	150160651
252	marcy-newberry marcy center; 1539 s. springfield; ; 7622300; community partnerships; 8-11 hours, varies by facility	153960623
253	mary crane morse; 1545 w. morse; ; 2621390; community partnerships; 8-11 hours, varies by facility	154560626
254	early child care services,inc.; 160 n. lasalle n. 201; ; 8144782; community partnerships; 8-11 hours, varies by facility	16060601
255	chicago commons-taylor center for new experiences; 1633 n. hamlin; ; 2278551; community partnerships; 8-11 hours, varies by facility	163360647
256	chicago commons paulo freire; 1653 w. 43rd street; ; 8266260; community partnerships; 8-11 hours, varies by facility	165360609
257	children?s home & aid englewood; 1701 w. 63rd st.; ; ; community partnerships; 8-11 hours, varies by facility	170160636
258	erie neighborhood house; 1701 w. superior; ; 5635800; community partnerships; 8-11 hours, varies by facility	170160622
259	el hogar del ni?o new loomis; 1710-1718 s. loomis; ; 5630662; community partnerships; 8-11 hours, varies by facility	171060608
260	kiddy kare preschools little tykes i; 1711 w. 35th street; ; 2547710; community partnerships; 8-11 hours, varies by facility	171160609
261	el hogar del ni?o loomis preschool; 1718 s. loomis; ; 5630662; community partnerships; 8-11 hours, varies by facility	171860608
262	kiddy kare preschools little tykes ii; 1723 w. 35th street; ; 5791791; community partnerships; 8-11 hours, varies by facility	172360609
263	lutheran social services rogers park; 1754 w. devon; ; 2623366; community partnerships; 8-11 hours, varies by facility	175460660
264	children?s place family center; 1800 n. humboldt blvd.; ; ; community partnerships; 8-11 hours, varies by facility	180060622
265	lutheran day nursery; 1802 n. fairfield; ; 4864222; community partnerships; 8-11 hours, varies by facility	180260647
266	chicago commons guadalupano; 1814 s. paulina; ; 6663883; community partnerships; 8-11 hours, varies by facility	181460608
267	chicago international charter basil campus; 1816 w. garfield blvd.; ; 8630652; community partnerships; 8-11 hours, varies by facility	1816
268	ymca mccormick tribune preschool; 1834 n. lawndale; ; 2352525; community partnerships; 8-11 hours, varies by facility	183460647
269	wee care nursery school & kindergarten; 1845 e. 79th st.; ; 2214442; community partnerships; 8-11 hours, varies by facility	184560649
270	city colleges malcolm x cdc; 1900 w. van buren; ; 8507176; community partnerships; 8-11 hours, varies by facility	190060612
271	archdiocese of chicago - st. pius v; 1919 s. ashland; ; 2261590; community partnerships; 8-11 hours, varies by facility	1919
272	uic children?s center ii - west; 1919 w. taylor (m/c 525) rm. 128; ; 4135326; community partnerships; 8-11 hours, varies by facility	191960612
273	terry town vireva nursery school; 1935 w. 51st st.; ; 9258417; community partnerships; 8-11 hours, varies by facility	193560609
274	el valor corporation-guadalupe reyes children and family center; 1951 w. 19th st.; ; 9972021; community partnerships; 8-11 hours, varies by facility	195160608
275	new zion child care academy; 1960 w. 13th st.; ; 7331263; community partnerships; 8-11 hours, varies by facility	1960
276	loop learning center; 2001 s. michigan ave.; ; 2258828; community partnerships; 8-11 hours, varies by facility	200160616
277	north avenue day nursery; 2001 w. pierce; ; 3424499; community partnerships; 8-11 hours, varies by facility	200160622
278	carole robertson center roosevelt; 2020 w. roosevelt; ; 2434881; community partnerships; 8-11 hours, varies by facility	202060608
279	dorsey developmental institute i; 2050 e. 93rd street; ; 3754300; community partnerships; 8-11 hours, varies by facility	205060617
280	loren children's learning center, inc.; 2106 e. 79th st.; ; 3569400; community partnerships; 8-11 hours, varies by facility	2106
281	archdiocese of chicago - st. paul/ our lady of vilna; 2114 w. 22nd pl.; ; 8476078; community partnerships; 8-11 hours, varies by facility	211460612
282	marillac house; 212 s. francisco; ; 7227440; community partnerships; 8-11 hours, varies by facility	21260612
